exp_tag,seed,run,best_val,best_test
quick_check,100,0,0.722000,0.705000
quick_check,101,0,0.726000,0.702000
baseline,100,0,0.728000,0.717000
baseline,101,0,0.702000,0.695000
baseline,102,0,0.714000,0.695000
baseline,103,0,0.684000,0.654000
baseline,104,0,0.716000,0.694000
baseline,105,0,0.712000,0.706000
baseline,106,0,0.714000,0.680000
baseline,107,0,0.706000,0.697000
baseline,108,0,0.718000,0.700000
baseline,109,0,0.716000,0.699000
baseline,110,0,0.684000,0.690000
baseline,111,0,0.702000,0.693000
baseline,112,0,0.714000,0.685000
baseline,113,0,0.730000,0.699000
baseline,114,0,0.726000,0.706000
baseline,115,0,0.706000,0.681000
baseline,116,0,0.712000,0.674000
baseline,117,0,0.700000,0.702000
baseline,118,0,0.722000,0.710000
baseline,119,0,0.712000,0.708000
baseline,120,0,0.712000,0.696000
baseline,121,0,0.718000,0.677000
baseline,122,0,0.708000,0.698000
baseline,123,0,0.704000,0.684000
baseline,124,0,0.714000,0.689000
baseline,125,0,0.704000,0.693000
baseline,126,0,0.702000,0.680000
baseline,127,0,0.700000,0.668000
baseline,128,0,0.704000,0.682000
baseline,129,0,0.712000,0.704000
schannel,100,0,0.720000,0.697000
schannel,101,0,0.702000,0.675000
schannel,102,0,0.730000,0.710000
schannel,103,0,0.718000,0.691000
schannel,104,0,0.712000,0.698000
schannel,105,0,0.726000,0.708000
schannel,106,0,0.728000,0.702000
schannel,107,0,0.712000,0.677000
schannel,108,0,0.706000,0.694000
schannel,109,0,0.704000,0.692000
schannel,110,0,0.674000,0.653000
schannel,111,0,0.712000,0.683000
schannel,112,0,0.730000,0.697000
schannel,113,0,0.706000,0.695000
schannel,114,0,0.728000,0.708000
schannel,115,0,0.718000,0.698000
schannel,116,0,0.712000,0.697000
schannel,117,0,0.706000,0.700000
schannel,118,0,0.730000,0.700000
schannel,119,0,0.720000,0.691000
schannel,120,0,0.712000,0.692000
schannel,121,0,0.714000,0.686000
schannel,122,0,0.688000,0.692000
schannel,123,0,0.724000,0.701000
schannel,124,0,0.714000,0.683000
schannel,125,0,0.714000,0.705000
schannel,126,0,0.708000,0.682000
schannel,127,0,0.696000,0.692000
schannel,128,0,0.704000,0.684000
schannel,129,0,0.724000,0.680000
