exp_tag,seed,run,best_val,best_test
baseline,100,0,0.724000,0.680000
baseline,101,0,0.724000,0.680000
baseline,102,0,0.724000,0.680000
baseline,103,0,0.724000,0.680000
baseline,104,0,0.724000,0.680000
baseline,105,0,0.724000,0.680000
baseline,106,0,0.724000,0.680000
baseline,107,0,0.724000,0.680000
baseline,108,0,0.724000,0.680000
baseline,109,0,0.724000,0.680000
baseline,110,0,0.724000,0.680000
baseline,111,0,0.724000,0.680000
baseline,112,0,0.724000,0.680000
baseline,113,0,0.724000,0.680000
baseline,114,0,0.724000,0.680000
baseline,115,0,0.724000,0.680000
baseline,116,0,0.724000,0.680000
baseline,117,0,0.724000,0.680000
baseline,118,0,0.724000,0.680000
baseline,119,0,0.724000,0.680000
baseline,120,0,0.724000,0.680000
baseline,121,0,0.724000,0.680000
baseline,122,0,0.724000,0.680000
baseline,123,0,0.724000,0.680000
baseline,124,0,0.724000,0.680000
baseline,125,0,0.724000,0.680000
baseline,126,0,0.724000,0.680000
baseline,127,0,0.724000,0.680000
baseline,128,0,0.724000,0.680000
baseline,129,0,0.724000,0.680000
schannel,100,0,0.724000,0.680000
schannel,101,0,0.724000,0.680000
schannel,102,0,0.724000,0.680000
schannel,103,0,0.724000,0.680000
schannel,104,0,0.724000,0.680000
schannel,105,0,0.724000,0.680000
schannel,106,0,0.724000,0.680000
schannel,107,0,0.724000,0.680000
schannel,108,0,0.724000,0.680000
schannel,109,0,0.724000,0.680000
schannel,110,0,0.724000,0.680000
schannel,111,0,0.724000,0.680000
schannel,112,0,0.724000,0.680000
schannel,113,0,0.724000,0.680000
schannel,114,0,0.724000,0.680000
schannel,115,0,0.724000,0.680000
schannel,116,0,0.724000,0.680000
schannel,117,0,0.724000,0.680000
schannel,118,0,0.724000,0.680000
schannel,119,0,0.724000,0.680000
schannel,120,0,0.724000,0.680000
schannel,121,0,0.724000,0.680000
schannel,122,0,0.724000,0.680000
schannel,123,0,0.724000,0.680000
schannel,124,0,0.724000,0.680000
schannel,125,0,0.724000,0.680000
schannel,126,0,0.724000,0.680000
schannel,127,0,0.724000,0.680000
schannel,128,0,0.724000,0.680000
schannel,129,0,0.724000,0.680000
