exp_tag,seed,run,best_val,best_test
baseline,0,0,0.790000,0.803000
baseline,1,0,0.806000,0.801000
baseline,2,0,0.790000,0.791000
baseline,3,0,0.790000,0.794000
baseline,4,0,0.804000,0.798000
baseline,5,0,0.796000,0.805000
baseline,6,0,0.794000,0.790000
baseline,7,0,0.792000,0.795000
baseline,8,0,0.786000,0.794000
baseline,9,0,0.794000,0.788000
schannel,0,0,0.782000,0.787000
schannel,1,0,0.798000,0.802000
schannel,2,0,0.796000,0.813000
schannel,3,0,0.792000,0.802000
schannel,4,0,0.794000,0.785000
schannel,5,0,0.802000,0.809000
schannel,6,0,0.784000,0.802000
schannel,7,0,0.790000,0.800000
schannel,8,0,0.796000,0.785000
schannel,9,0,0.790000,0.798000
baseline,0,0,0.790000,0.803000
baseline,1,0,0.806000,0.801000
baseline,2,0,0.790000,0.791000
baseline,3,0,0.790000,0.794000
baseline,4,0,0.804000,0.798000
baseline,5,0,0.796000,0.805000
baseline,6,0,0.794000,0.790000
baseline,7,0,0.792000,0.795000
baseline,8,0,0.786000,0.794000
baseline,9,0,0.794000,0.788000
baseline,10,0,0.796000,0.803000
baseline,11,0,0.800000,0.806000
baseline,12,0,0.796000,0.801000
baseline,13,0,0.782000,0.790000
baseline,14,0,0.798000,0.795000
baseline,15,0,0.800000,0.795000
baseline,16,0,0.790000,0.784000
baseline,17,0,0.804000,0.802000
baseline,18,0,0.784000,0.782000
baseline,19,0,0.794000,0.798000
baseline,20,0,0.786000,0.796000
baseline,21,0,0.782000,0.796000
baseline,22,0,0.794000,0.808000
baseline,23,0,0.790000,0.807000
baseline,24,0,0.792000,0.784000
baseline,25,0,0.798000,0.817000
baseline,26,0,0.794000,0.807000
baseline,27,0,0.790000,0.788000
baseline,28,0,0.796000,0.809000
baseline,29,0,0.792000,0.776000
schannel,0,0,0.782000,0.787000
schannel,1,0,0.798000,0.802000
schannel,2,0,0.796000,0.813000
schannel,3,0,0.792000,0.802000
schannel,4,0,0.794000,0.785000
schannel,5,0,0.802000,0.809000
schannel,6,0,0.784000,0.802000
schannel,7,0,0.790000,0.800000
schannel,8,0,0.796000,0.785000
schannel,9,0,0.790000,0.798000
schannel,10,0,0.796000,0.799000
schannel,11,0,0.786000,0.787000
schannel,12,0,0.802000,0.794000
schannel,13,0,0.794000,0.789000
schannel,14,0,0.796000,0.811000
schannel,15,0,0.792000,0.824000
schannel,16,0,0.790000,0.801000
schannel,17,0,0.802000,0.809000
schannel,18,0,0.800000,0.817000
schannel,19,0,0.794000,0.812000
schannel,20,0,0.798000,0.801000
schannel,21,0,0.792000,0.811000
schannel,22,0,0.778000,0.792000
schannel,23,0,0.800000,0.807000
schannel,24,0,0.784000,0.805000
schannel,25,0,0.796000,0.811000
schannel,26,0,0.788000,0.802000
schannel,27,0,0.790000,0.809000
schannel,28,0,0.798000,0.819000
schannel,29,0,0.810000,0.799000
baseline,100,0,0.788000,0.777000
baseline,101,0,0.792000,0.815000
baseline,102,0,0.796000,0.808000
baseline,103,0,0.792000,0.819000
baseline,104,0,0.788000,0.795000
baseline,105,0,0.786000,0.813000
baseline,106,0,0.790000,0.798000
baseline,107,0,0.794000,0.807000
baseline,108,0,0.780000,0.791000
baseline,109,0,0.796000,0.806000
baseline,110,0,0.788000,0.786000
baseline,111,0,0.790000,0.803000
baseline,112,0,0.790000,0.793000
baseline,113,0,0.792000,0.801000
baseline,114,0,0.806000,0.811000
baseline,115,0,0.790000,0.804000
baseline,116,0,0.786000,0.802000
baseline,117,0,0.788000,0.811000
baseline,118,0,0.800000,0.800000
baseline,119,0,0.796000,0.826000
baseline,120,0,0.788000,0.788000
baseline,121,0,0.794000,0.795000
baseline,122,0,0.786000,0.802000
baseline,123,0,0.786000,0.803000
baseline,124,0,0.786000,0.781000
baseline,125,0,0.788000,0.800000
baseline,126,0,0.796000,0.802000
baseline,127,0,0.792000,0.811000
baseline,128,0,0.784000,0.786000
baseline,129,0,0.790000,0.782000
schannel,100,0,0.792000,0.809000
schannel,101,0,0.794000,0.804000
schannel,102,0,0.796000,0.823000
schannel,103,0,0.798000,0.820000
schannel,104,0,0.794000,0.790000
schannel,105,0,0.790000,0.795000
schannel,106,0,0.790000,0.792000
schannel,107,0,0.796000,0.809000
schannel,108,0,0.788000,0.798000
schannel,109,0,0.794000,0.800000
schannel,110,0,0.794000,0.807000
schannel,111,0,0.794000,0.797000
schannel,112,0,0.802000,0.807000
schannel,113,0,0.788000,0.823000
schannel,114,0,0.800000,0.805000
schannel,115,0,0.796000,0.793000
schannel,116,0,0.804000,0.818000
schannel,117,0,0.798000,0.807000
schannel,118,0,0.792000,0.807000
schannel,119,0,0.794000,0.797000
schannel,120,0,0.794000,0.819000
schannel,121,0,0.784000,0.794000
schannel,122,0,0.800000,0.780000
schannel,123,0,0.788000,0.775000
schannel,124,0,0.802000,0.780000
schannel,125,0,0.796000,0.805000
schannel,126,0,0.786000,0.805000
schannel,127,0,0.792000,0.809000
schannel,128,0,0.800000,0.787000
schannel,129,0,0.802000,0.806000
