run,best_val,best_test
0,0.786000,0.797000
1,0.806000,0.810000
2,0.806000,0.807000
0,0.794000,0.796000
1,0.790000,0.791000
2,0.794000,0.798000
3,0.792000,0.807000
4,0.798000,0.795000
0,0.800000,0.796000
1,0.800000,0.805000
2,0.796000,0.817000
3,0.786000,0.799000
4,0.796000,0.816000
0,0.794000,0.796000
50000,0.800000,0.796000
0,0.802000,0.814000
50000,0.802000,0.800000
0,0.798000,0.810000
50000,0.790000,0.800000
0,0.792000,0.797000
50000,0.788000,0.796000
0,0.790000,0.801000
50000,0.796000,0.799000
0,0.782000,0.798000
50000,0.782000,0.796000
0,0.794000,0.791000
50000,0.792000,0.813000
0,0.796000,0.807000
50000,0.786000,0.792000
0,0.796000,0.801000
50000,0.800000,0.808000
0,0.798000,0.816000
50000,0.776000,0.789000
