config_tag,exp_group,seed,run,best_val,best_test
baseline_cfg0,baseline,100,0,0.788000,0.777000
baseline_cfg1,baseline,100,0,0.782000,0.794000
sch_cfg0,schannel,100,0,0.782000,0.800000
sch_cfg1,schannel,100,0,0.784000,0.804000
sch_cfg2,schannel,100,0,0.788000,0.789000
sch_cfg3,schannel,100,0,0.780000,0.790000
baseline_cfg0,baseline,101,0,0.792000,0.815000
baseline_cfg1,baseline,101,0,0.798000,0.809000
sch_cfg0,schannel,101,0,0.802000,0.785000
sch_cfg1,schannel,101,0,0.788000,0.810000
sch_cfg2,schannel,101,0,0.792000,0.786000
sch_cfg3,schannel,101,0,0.788000,0.814000
baseline_cfg0,baseline,102,0,0.796000,0.808000
baseline_cfg1,baseline,102,0,0.782000,0.783000
sch_cfg0,schannel,102,0,0.790000,0.819000
sch_cfg1,schannel,102,0,0.784000,0.795000
sch_cfg2,schannel,102,0,0.790000,0.823000
sch_cfg3,schannel,102,0,0.782000,0.800000
baseline_cfg0,baseline,103,0,0.792000,0.819000
baseline_cfg1,baseline,103,0,0.790000,0.806000
sch_cfg0,schannel,103,0,0.796000,0.800000
sch_cfg1,schannel,103,0,0.794000,0.795000
sch_cfg2,schannel,103,0,0.804000,0.816000
sch_cfg3,schannel,103,0,0.794000,0.818000
baseline_cfg0,baseline,104,0,0.788000,0.795000
baseline_cfg1,baseline,104,0,0.790000,0.799000
sch_cfg0,schannel,104,0,0.794000,0.800000
sch_cfg1,schannel,104,0,0.800000,0.799000
sch_cfg2,schannel,104,0,0.802000,0.801000
sch_cfg3,schannel,104,0,0.798000,0.811000
baseline_cfg0,baseline,105,0,0.786000,0.813000
baseline_cfg1,baseline,105,0,0.786000,0.789000
sch_cfg0,schannel,105,0,0.800000,0.804000
sch_cfg1,schannel,105,0,0.806000,0.798000
sch_cfg2,schannel,105,0,0.792000,0.801000
sch_cfg3,schannel,105,0,0.788000,0.799000
baseline_cfg0,baseline,106,0,0.790000,0.798000
baseline_cfg1,baseline,106,0,0.774000,0.775000
sch_cfg0,schannel,106,0,0.806000,0.812000
